限定,げんてい
現職,げんしょく
げん骨,げんこつ
月光,げっこう
減額,げんがく
芸術,げいじゅつ
厳重,げんじゅう
ゲレンデ,げれんで
元気,げんき
源泉徴収,げんせんちょうしゅう
芸者,げいしゃ
げっぷ,げっぷ
原稿用紙,げんこうようし
月経,げっけい
下水道,げすいどう
下校,げこう
げっそり,げっそり
劇,げき
劇薬,げきやく
原理,げんり
現金書留,げんきんかきとめ
解熱,げねつ
元凶,げんきょう
厳粛,げんしゅく
げた,げた
原材料,げんざいりょう
現代,げんだい
外科,げか
ゲッツー,げっつー
夏至,げし
厳密,げんみつ
現段階,げんだんかい
元素,げんそ
原子炉,げんしろ
限度,げんど
原油,げんゆ
激怒,げきど
現物,げんぶつ
現実性,げんじつせい
月曜日,げつようひ
現場,げんば
月額,げつがく
原告,げんこく
劇場,げきじょう
月曜,げつよう
現代語,げんだいご
下宿,げしゅく
減速,げんそく
ゲームセンター,げーむせんたー
げろ,げろ
幻滅,げんめつ
下痢,げり
原料,げんりょう
月謝,げっしゃ
現地,げんち
ゲリラ,げりら
原始,げんし
月,げつ
下車,げしゃ
現実的,げんじつてき
芸風,げいふう
下水,げすい
現状,げんじょう
限界,げんかい
原動力,げんどうりょく
減税,げんぜい
芸術家,げいじゅつか
下落,げらく
原価,げんか
原作,げんさく
ゲーム,げーむ
現像,げんぞう
幻想,げんそう
劇的,げきてき
芸術的,げいじゅつてき
現在,げんざい
幻想的,げんそうてき
現象,げんしょう
原始時代,げんしじだい
原始的,げんしてき
撃墜,げきつい
言動,げんどう
ゲスト,げすと
撃退,げきたい
言語,げんご
芸,げい
激突,げきとつ
元号,げんごう
玄米,げんまい
芸能界,げいのうかい
ゲート,げーと
元首,げんしゅ
原作者,げんさくしゃ
芸能,げいのう
月給,げっきゅう
現役,げんえき
厳格,げんかく
現場監督,げんばかんとく
現行,げんこう
芸名,げいめい
現実,げんじつ
言語学,げんごがく
原書,げんしょ
月末,げつまつ
原子力,げんしりょく
激励,げきれい
原爆,げんばく
原形,げんけい
言及,げんきゅう
月収,げっしゅう
