テレビ,てれび
手入れ,ていれ
手羽,てば
てんで,てんで
手助け,てだすけ
天守閣,てんしゅかく
停車,ていしゃ
撤回,てっかい
天皇制,てんのうせい
天使,てんし
邸宅,ていたく
転落,てんらく
手軽,てがる
テスト,てすと
徹底,てってい
手近,てぢか
店頭,てんとう
点火,てんか
テンポ,てんぽ
手足,てあし
手洗い,てあらい
テクノロジー,てくのろじー
帝国,ていこく
ティッシュ,てぃっしゅ
テーマ,てーま
適する,てきする
適材,てきざい
手付け,てつけ
天気,てんき
適当,てきとう
点数,てんすう
手間取る,てまどる
手頃,てごろ
手間,てま
低地,ていち
手振り,てぶり
照らす,てらす
適齢,てきれい
手の甲,てのこう
テーピング,てーぴんぐ
定食,ていしょく
低気圧,ていきあつ
天才,てんさい
てるてる坊主,てるてるぼうず
テークアウト,てーくあうと
提供,ていきょう
停泊,ていはく
展覧会,てんらんかい
敵視,てきし
テント,てんと
適量,てきりょう
展望,てんぼう
天皇陛下,てんのうへいか
鉄砲,てっぽう
適宜,てきぎ
天敵,てんてき
低姿勢,ていしせい
テニス,てにす
鉄棒,てつぼう
手違い,てちがい
訂正,ていせい
天性,てんせい
手押し,ておし
手書き,てがき
天空,てんくう
適合,てきごう
転職,てんしょく
手数料,てすうりょう
手抜き,てぬき
鉄則,てっそく
テレホンカード,てれほんかーど
亭主関白,ていしゅかんぱく
手当たり,てあたり
徹夜,てつや
低迷,ていめい
提唱,ていしょう
適齢期,てきれいき
手探り,てさぐり
手袋,てぶくろ
手錠,てじょう
手打ち,てうち
典型,てんけい
テレビ電話,てれびでんわ
手持ち,てもち
テーマソング,てーまそんぐ
敵意,てきい
手立て,てだて
適性,てきせい
停止,ていし
手鏡,てかがみ
低速,ていそく
低俗,ていぞく
鉄,てつ
手続き,てつづき
テキスト,てきすと
店主,てんしゅ
手付き,てつき
低血圧,ていけつあつ
手口,てぐち
哲学的,てつがくてき
哲学,てつがく
ＴＰＯ,てぃーぴーおー
丁寧,ていねい
手直し,てなおし
敵対,てきたい
丁寧語,ていねいご
定期,ていき
徹底的,てっていてき
手ごわい,てごわい
展示,てんじ
手相,てそう
転入,てんにゅう
手放す,てばなす
鉄鋼,てっこう
手提げ,てさげ
適性検査,てきせいけんさ
定数,ていすう
展開,てんかい
定説,ていせつ
テクニック,てくにっく
適応,てきおう
手荷物,てにもつ
添付,てんぷ
手料理,てりょうり
転換期,てんかんき
定時制,ていじせい
程度,ていど
照れる,てれる
提訴,ていそ
手渡し,てわたし
抵抗,ていこう
定住,ていじゅう
寺子屋,てらこや
手遅れ,ておくれ
手先,てさき
手当て,てあて
天皇,てんのう
天井,てんじょう
手配,てはい
手帳,てちょう
転出,てんしゅつ
テロリスト,てろりすと
手掛ける,てがける
亭主,ていしゅ
てんぐ,てんぐ
撤廃,てっぱい
定形,ていけい
撤去,てっきょ
鉄道,てつどう
手伝い,てつだい
テロ,てろ
手取り,てどり
手前,てまえ
体裁,ていさい
照る,てる
提出,ていしゅつ
提示,ていじ
堤防,ていぼう
鉄骨,てっこつ
天罰,てんばつ
定休,ていきゅう
照り,てり
ティッシュペーパー,てぃっしゅぺーぱー
低金利,ていきんり
適切,てきせつ
手習い,てならい
手元,てもと
転ずる,てんずる
締結,ていけつ
天気予報,てんきよほう
テープ,てーぷ
天国,てんごく
テナント,てなんと
テーブル,てーぶる
Ｔシャツ,てぃーしゃつ
丁重,ていちょう
摘発,てきはつ
転校,てんこう
手数,てすう
手ぶら,てぶら
手土産,てみやげ
手触り,てざわり
転写,てんしゃ
敵地,てきち
適所,てきしょ
適度,てきど
天然ガス,てんねんがす
定義,ていぎ
手渡す,てわたす
徹する,てっする
天文学,てんもんがく
定例,ていれい
天体,てんたい
転送,てんそう
敵,てき
低下,ていか
ＴＶ,てぃーぶい
点滅,てんめつ
手品,てじな
天気図,てんきず
テープレコーダー,てーぷれこーだー
手伝う,てつだう
照らし合わせる,てらしあわせる
天地,てんち
停留所,ていりゅうしょ
典型的,てんけいてき
寺,てら
天ぷら,てんぷら
定評,ていひょう
定額,ていがく
定年制,ていねんせい
定期的,ていきてき
手柄,てがら
添削,てんさく
手紙,てがみ
手首,てくび
転用,てんよう
店内,てんない
転売,てんばい
手掛かり,てがかり
転居,てんきょ
撤退,てったい
手早い,てばやい
手作り,てづくり
的確,てきかく
テクニカル,てくにかる
テーブルクロス,てーぶるくろす
適用,てきよう
定着,ていちゃく
