買収,ばいしゅう
バイリンガル,ばいりんがる
バスルーム,ばするーむ
バナナ,ばなな
ばってき,ばってき
ばら肉,ばらにく
バスタブ,ばすたぶ
バーベキュー,ばーべきゅー
番組,ばんぐみ
バスケットボール,ばすけっとぼーる
バック,ばっく
バイパス,ばいぱす
爆風,ばくふう
罰則,ばっそく
幕末,ばくまつ
ばれる,ばれる
馬鹿野郎,ばかやろう
バロメーター,ばろめーたー
伴奏,ばんそう
バックグラウンド,ばっくぐらうんど
バッテリー,ばってりー
番付,ばんづけ
バレーボール,ばれーぼーる
売春婦,ばいしゅんふ
ばらつき,ばらつき
張り,ばり
バランス,ばらんす
暴露,ばくろ
バブル,ばぶる
万能,ばんのう
バルコニー,ばるこにー
バックナンバー,ばっくなんばー
バーベル,ばーべる
ばんそうこう,ばんそうこう
馬力,ばりき
ばら,ばら
売却,ばいきゃく
バント,ばんと
バカンス,ばかんす
馬鹿らしい,ばからしい
バリュー,ばりゅー
ばく大,ばくだい
媒介,ばいかい
バッターボックス,ばったーぼっくす
バーナー,ばーなー
晩飯,ばんめし
ばたばた,ばたばた
爆発,ばくはつ
倍率,ばいりつ
爆撃,ばくげき
倍数,ばいすう
バスト,ばすと
場合,ばあい
バード,ばーど
馬鹿げる,ばかげる
晩酌,ばんしゃく
バックアップ,ばっくあっぷ
バリケード,ばりけーど
バイキング,ばいきんぐ
爆発的,ばくはつてき
媒酌,ばいしゃく
ばらまく,ばらまく
バッグ,ばっぐ
場違い,ばちがい
馬鹿馬鹿しい,ばかばかしい
万歳,ばんざい
ばらつく,ばらつく
バッチ,ばっち
馬車,ばしゃ
バックミラー,ばっくみらー
バレエ,ばれえ
ばば,ばば
バザー,ばざー
麦芽,ばくが
バンダナ,ばんだな
爆破,ばくは
バラエティー,ばらえてぃー
ばつ,ばつ
化け物,ばけもの
バイオ,ばいお
万事,ばんじ
ばらす,ばらす
番長,ばんちょう
馬鹿,ばか
ばね,ばね
罰する,ばっする
バウンド,ばうんど
バレリーナ,ばれりーな
化ける,ばける
媒体,ばいたい
ばらばら,ばらばら
バイク,ばいく
バー,ばー
賠償,ばいしょう
バクテリア,ばくてりあ
バースデー,ばーすでー
抜粋,ばっすい
場所,ばしょ
万博,ばんぱく
バレンタインデー,ばれんたいんでー
爆笑,ばくしょう
罵声,ばせい
売買,ばいばい
バッター,ばったー
バニラ,ばにら
バター,ばたー
幕府,ばくふ
バケツ,ばけつ
伐採,ばっさい
番外,ばんがい
バタフライ,ばたふらい
バッファロー,ばっふぁろー
番号,ばんごう
