パンク,ぱんく
ぱちくり,ぱちくり
パーマ,ぱーま
パズル,ぱずる
パセリ,ぱせり
ぱくり,ぱくり
パッチワーク,ぱっちわーく
パンケーキ,ぱんけーき
パレード,ぱれーど
ぱくぱく,ぱくぱく
パネル,ぱねる
パーフェクト,ぱーふぇくと
パフェ,ぱふぇ
パンプス,ぱんぷす
パシフィック,ぱしふぃっく
パイナップル,ぱいなっぷる
パンツ,ぱんつ
パンフレット,ぱんふれっと
パイ,ぱい
パール,ぱーる
パンチ,ぱんち
ぱあ,ぱあ
パワーアップ,ぱわーあっぷ
ぱちぱち,ぱちぱち
パウダー,ぱうだー
ぱさぱさ,ぱさぱさ
パルプ,ぱるぷ
パートナー,ぱーとなー
パター,ぱたー
パノラマ,ぱのらま
パッケージ,ぱっけーじ
パロディー,ぱろでぃー
パブリック,ぱぶりっく
パーク,ぱーく
パイプ,ぱいぷ
パステル,ぱすてる
パワフル,ぱわふる
パーセント,ぱーせんと
パニック,ぱにっく
パンティー,ぱんてぃー
パイプ役,ぱいぷやく
パスポート,ぱすぽーと
パチンコ,ぱちんこ
パワー,ぱわー
パスタ,ぱすた
パジャマ,ぱじゃま
パーツ,ぱーつ
パーソナルコンピューター,ぱーそなるこんぴゅーたー
パパ,ぱぱ
パイオニア,ぱいおにあ
パーティー,ぱーてぃー
パトロール,ぱとろーる
パラダイス,ぱらだいす
パスワード,ぱすわーど
ぱくる,ぱくる
パーキング,ぱーきんぐ
パーソナル,ぱーそなる
パープル,ぱーぷる
パントマイム,ぱんとまいむ
パーソナリティー,ぱーそなりてぃー
パート,ぱーと
パット,ぱっと
パイロット,ぱいろっと
パトカー,ぱとかー
パフォーマンス,ぱふぉーまんす
パラシュート,ぱらしゅーと
パンダ,ぱんだ
パンフ,ぱんふ
