病魔,びょうま
美的,びてき
Ｂ型,びーがた
ビザ,びざ
ビニール,びにーる
貧乏,びんぼう
微笑,びしょう
ビーズ,びーず
病名,びょうめい
美意識,びいしき
びり,びり
微妙,びみょう
美学,びがく
ビキニ,びきに
ビーム,びーむ
美容師,びようし
ビギナー,びぎなー
ビンテージ,びんてーじ
ビッグ,びっぐ
ＢＧＭ,びーじーえむ
病状,びょうじょう
美肌,びはだ
ビジネス,びじねす
ビジネスホテル,びじねすほてる
ビーチ,びーち
びしょびしょ,びしょびしょ
秒読み,びょうよみ
美女,びじょ
美男子,びだんし
美味,びみ
ビオラ,びおら
微量,びりょう
ビット,びっと
病気,びょうき
びら,びら
ビール,びーる
ビーフ,びーふ
備蓄,びちく
便乗,びんじょう
美術,びじゅつ
描写,びょうしゃ
ビデオテープ,びでおてーぷ
びょうぶ,びょうぶ
病室,びょうしつ
ビデオデッキ,びでおでっき
ビニールハウス,びにーるはうす
微生物,びせいぶつ
ビブラート,びぶらーと
びっくり,びっくり
美容,びよう
ビジター,びじたー
ビスケット,びすけっと
ビリヤード,びりやーど
ビジュアル,びじゅある
美徳,びとく
病棟,びょうとう
微動,びどう
ビデオ,びでお
美化,びか
ビューティー,びゅーてぃー
美食,びしょく
病死,びょうし
びびる,びびる
平等,びょうどう
