ボイスレコーダー,ぼいすれこーだー
棒高跳び,ぼうたかとび
ボキャブラリー,ぼきゃぶらりー
没する,ぼっする
ぼんやり,ぼんやり
ぼろい,ぼろい
妨害,ぼうがい
防腐,ぼうふ
暴徒,ぼうと
没頭,ぼっとう
忘却,ぼうきゃく
母国,ぼこく
ボンベ,ぼんべ
ボリューム,ぼりゅーむ
防衛庁,ぼうえいちょう
ボディーガード,ぼでぃーがーど
ぼけ,ぼけ
勃発,ぼっぱつ
ぼこぼこ,ぼこぼこ
牧師,ぼくし
暴走,ぼうそう
ボーダー,ぼーだー
坊主頭,ぼうずあたま
暴行,ぼうこう
ボックス,ぼっくす
防水,ぼうすい
母体,ぼたい
ボイス,ぼいす
ボーカル,ぼーかる
母子,ぼし
ぼやぼや,ぼやぼや
貿易,ぼうえき
ボード,ぼーど
母乳,ぼにゅう
ボトル,ぼとる
ぼける,ぼける
冒頭,ぼうとう
防護,ぼうご
防虫,ぼうちゅう
ボクサー,ぼくさー
ボウリング,ぼうりんぐ
盆踊り,ぼんおどり
ボイコット,ぼいこっと
ボイラー,ぼいらー
望遠鏡,ぼうえんきょう
ボーカリスト,ぼーかりすと
墓地,ぼち
ぼうっと,ぼうっと
ボランティア,ぼらんてぃあ
ボンド,ぼんど
忘年会,ぼうねんかい
貿易摩擦,ぼうえきまさつ
ボーイスカウト,ぼーいすかうと
簿記,ぼき
盆栽,ぼんさい
没収,ぼっしゅう
母国語,ぼこくご
募集,ぼしゅう
暴力,ぼうりょく
煩悩,ぼんのう
ボーイフレンド,ぼーいふれんど
僕,ぼく
ボーイ,ぼーい
牧場,ぼくじょう
ボストンバッグ,ぼすとんばっぐ
傍聴,ぼうちょう
防災,ぼうさい
防虫剤,ぼうちゅうざい
ボトルキープ,ぼとるきーぷ
防御率,ぼうぎょりつ
母語,ぼご
牧畜,ぼくちく
防具,ぼうぐ
ボクシング,ぼくしんぐ
ぼろ,ぼろ
暴走族,ぼうそうぞく
ボウル,ぼうる
棒,ぼう
暴落,ぼうらく
ボルト,ぼると
防衛,ぼうえい
母校,ぼこう
母性,ぼせい
棒立ち,ぼうだち
坊主,ぼうず
防臭,ぼうしゅう
ボディー,ぼでぃー
防御,ぼうぎょ
防波堤,ぼうはてい
帽子,ぼうし
膨大,ぼうだい
ボーナス,ぼーなす
暴動,ぼうどう
暴風,ぼうふう
ぼろぼろ,ぼろぼろ
防備,ぼうび
ボス,ぼす
母子家庭,ぼしかてい
ボンネット,ぼんねっと
防火,ぼうか
