ロマンス,ろまんす
ろうそく,ろうそく
六月,ろくがつ
労働力,ろうどうりょく
路地,ろじ
論述,ろんじゅつ
路上,ろじょう
ロマンチック,ろまんちっく
路肩,ろかた
論ずる,ろんずる
ロケ,ろけ
六,ろく
露骨,ろこつ
老若男女,ろうにゃくなんにょ
ロープ,ろーぷ
朗読,ろうどく
ローズ,ろーず
ロースト,ろーすと
労働者,ろうどうしゃ
浪費,ろうひ
ローカル,ろーかる
論争,ろんそう
老後,ろうご
ロケット,ろけっと
論じる,ろんじる
録画,ろくが
論理的,ろんりてき
ロビー,ろびー
論外,ろんがい
ローラー,ろーらー
老朽化,ろうきゅうか
六十,ろくじゅう
ロボット,ろぼっと
論理,ろんり
ロータリー,ろーたりー
廊下,ろうか
露出,ろしゅつ
六法,ろっぽう
労災,ろうさい
ロシア語,ろしあご
朗報,ろうほう
ろう屋,ろうや
労働,ろうどう
ロング,ろんぐ
労働組合,ろうどうくみあい
労力,ろうりょく
ローマ字,ろーまじ
労,ろう
ロース,ろーす
六法全書,ろっぽうぜんしょ
労働基準法,ろうどうきじゅんほう
ロックンロール,ろっくんろーる
老婆,ろうば
労働省,ろうどうしょう
論議,ろんぎ
六時,ろくじ
論説,ろんせつ
